,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
ещё,0.0007117437722419929,0.0010449320794148381,0.0008143322475570033,0.0018656716417910447,0.0007541478129713424,0.0008620689655172414,0.0020394289598912306,0.0018572565667285751,0.0019011406844106464,0.0006954102920723226,0.0010346611484738748,0.0007645259938837921,0.001229256299938537,0.0009267840593141798,0.0005567928730512249,0.0009319664492078285,0.0011312217194570137,0.0007668711656441718,0.00130605137135394,0.0028776978417266188,0.0005589714924538849,0.0007107320540156361,0.0004248088360237893,0.000594883997620464,0.0011441647597254005,0.001325088339222615,0.0009000900090009,0.0007412898443291327,0.001265022137887413,0.001996007984031936,0.0008237232289950577,0.0008169934640522876,0.0008156606851549756,0.0011019283746556473,0.0007401924500370096,0.0008123476848090983,0.000496031746031746,0.001984914648670107,0.0004837929366231253,0.0011689070718877848,0.000564334085778781,0.0008741258741258741,0.00048496605237633366,0.0008237232289950577,0.000791765637371338,0.0018572565667285751,0.0010793308148947653,0.001272264631043257,0.0011799410029498525,0.0005614823133071309,0.000949667616334283,0.0008503401360544217,0.0016433853738701725,0.0014204545454545455,0.0005698005698005698,0.0009216589861751152,0.0008748906386701663,0.0007309941520467836,0.0015432098765432098,0.0008032128514056225,0.0007727975270479134,0.0011173184357541898,0.0015278838808250573,0.0006613756613756613,0.001504664459825459,0.0006527415143603133,0.0016963528413910093,0.0008032128514056225,0.0017441860465116279,0.0013651877133105802,0.0006060606060606061,0.0008156606851549756,0.0011267605633802818,0.0005717552887364208,0.0008183306055646482,0.000980392156862745,0.0006138735420503376,0.0015479876160990713,0.0006195786864931846,0.000723589001447178,0.0007017543859649122,0.0006097560975609756,0.0008869179600886918,0.0015420200462606013,0.001800720288115246,0.0007704160246533128,0.0009115770282588879,0.0016901408450704226,0.0011823825007389892,0.0008156606851549756,0.000794912559618442,0.000851063829787234,0.0007776049766718507,0.0008756567425569177,0.0008481764206955047,0.0017211703958691911,0.0007704160246533128,0.0012515644555694619,0.0008613264427217916,0.000779423226812159,0.0016778523489932886
робкий,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003969829297340214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
прочитать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0006337135614702154,0.0,0.0,0.0007645259938837921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007401924500370096,0.0,0.0,0.0,0.0,0.0005844535359438924,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007102272727272727,0.0,0.0,0.0,0.0,0.0,0.001606425702811245,0.0,0.0011173184357541898,0.0,0.0006613756613756613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008156606851549756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012195121951219512,0.0004434589800443459,0.0,0.0,0.0007704160246533128,0.0,0.0005633802816901409,0.0005911912503694946,0.0,0.0,0.0,0.0,0.0,0.0,0.0005737234652897303,0.0,0.0,0.0,0.0,0.0
всадник,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007639419404125286,0.0,0.0003009328919650918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
дементьев,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007959671000265323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004248088360237893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015879317189360857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007959671000265323,0.004856988667026443,0.0,0.0005899705014749262,0.0,0.0,0.0,0.0,0.0,0.003988603988603989,0.0,0.0,0.0,0.0,0.0,0.0,0.0005586592178770949,0.0,0.0,0.0006018657839301836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006002400960384153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006257822277847309,0.0,0.0,0.0
встретить,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005509641873278236,0.0,0.0,0.0,0.0003969829297340214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003009328919650918,0.0,0.0,0.0,0.0005813953488372093,0.0006825938566552901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
нобелевский,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008123476848090983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003009328919650918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005717552887364208,0.0,0.0,0.0006138735420503376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005911912503694946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
передача,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006325110689437065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003009328919650918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
беречь,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043535045711797995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002653223666755107,0.0,0.0,0.0005899705014749262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000723589001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
всё,0.002135231316725979,0.001567398119122257,0.003257328990228013,0.003109452736318408,0.004524886877828055,0.002586206896551724,0.002719238613188307,0.0029185460334306182,0.0025348542458808617,0.004867872044506259,0.0020693222969477496,0.0045871559633027525,0.002458512599877074,0.004633920296570899,0.0038975501113585748,0.004659832246039142,0.005656108597285068,0.003834355828220859,0.00130605137135394,0.005035971223021582,0.002794857462269424,0.0035536602700781805,0.001274426508071368,0.00594883997620464,0.002288329519450801,0.004858657243816254,0.0036003600360036,0.0029651593773165306,0.002530044275774826,0.004657351962741184,0.002471169686985173,0.0024509803921568627,0.004893964110929853,0.003856749311294766,0.003700962250185048,0.003249390739236393,0.001488095238095238,0.004763795156808257,0.002902757619738752,0.0035067212156633548,0.0028216704288939053,0.004370629370629371,0.004364694471387003,0.002471169686985173,0.00395882818685669,0.0029185460334306182,0.0032379924446842958,0.003816793893129771,0.002359882005899705,0.003368893879842785,0.003798670465337132,0.00510204081632653,0.005751848808545604,0.004971590909090909,0.0017094017094017094,0.005529953917050691,0.003499562554680665,0.005847953216374269,0.0038580246913580245,0.004819277108433735,0.0030911901081916537,0.006145251396648044,0.0038197097020626434,0.0033068783068783067,0.003009328919650918,0.0026109660574412533,0.0033927056827820186,0.00321285140562249,0.0034883720930232558,0.005460750853242321,0.0030303030303030303,0.004078303425774877,0.0033802816901408453,0.002287021154945683,0.004909983633387889,0.0029411764705882353,0.0024554941682013503,0.0046439628482972135,0.0030978934324659233,0.004341534008683068,0.008421052631578947,0.004878048780487805,0.004878048780487805,0.002313030069390902,0.001800720288115246,0.003852080123266564,0.004557885141294439,0.003943661971830986,0.004433934377771209,0.0032626427406199023,0.003179650238473768,0.003404255319148936,0.0038880248833592537,0.0043782837127845885,0.0033927056827820186,0.0034423407917383822,0.0030816640986132513,0.0025031289111389237,0.0034453057708871662,0.003117692907248636,0.0050335570469798654
