,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
знаменитый,0.0008571346311976026,0.0009707835705716684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008571346311976026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017424857829041387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
скрипка,0.001417154429405865,0.001605057346834604,0.0011789798444284214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014987144120078306,0.0,0.0,0.001417154429405865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016979709718740116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001653785853646807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
всегда,0.0009667558814805712,0.0007299597926512953,0.0026809256518973146,0.0015269473398479294,0.0020517010735421476,0.0012969264264734018,0.0,0.000754927322872577,0.0,0.0,0.0,0.0005656678169520522,0.0007176607361389915,0.0009667558814805712,0.0009885367550318436,0.0,0.0,0.0,0.0,0.0007161788408136307,0.000746111330780027,0.0,0.0,0.0,0.0005872874384030498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006551123233562352,0.0,0.0,0.0,0.0015444314696935167,0.0,0.0,0.0,0.0,0.0,0.0008978721414046627,0.0,0.0,0.0,0.0,0.0010124463179141817,0.0,0.0,0.000927366795400385,0.0,0.0,0.0009611426248448962,0.000975038662794461,0.0,0.0006866081081329774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009695871686734057,0.0010032422604785982,0.0,0.0,0.0,0.0011528234901985793,0.0,0.0009638135253506185,0.0,0.0,0.0,0.0005319557998155583,0.0013889280722873044,0.0,0.0,0.0,0.0,0.0,0.0006263793267178039,0.0,0.0,0.0,0.0006964561877103293,0.0,0.0,0.0,0.0,0.0,0.0
удивительный,0.000613893130832815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010776027138151042,0.0,0.000613893130832815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018382634529787074,0.0,0.0,0.0,0.0,0.0,0.0,0.0017816143481103343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032639878953383402,0.0,0.0018470730222421834,0.0,0.001878582797601311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013267558369748787,0.0,0.0,0.0,0.0,0.005019975594458497,0.0
правильно,0.0007978982225662754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017769332571133075,0.0007978982225662754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019878853203751054,0.0,0.0,0.0,0.002243046719706835,0.0,0.0,0.0
иногда,0.0005885917823315342,0.0,0.0,0.0,0.0,0.0,0.0015083164925461829,0.0,0.0,0.0,0.0,0.0,0.0,0.0005885917823315342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018263799374323632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017625001939927576,0.0,0.0,0.0,0.0,0.0,0.0,0.0017081858582764938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014644816671353295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017709466805454384,0.001832417557060239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009652700235275964,0.0,0.0,0.0,0.0,0.0,0.0,0.0037707912313654575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
рустихогромный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
карамзин,0.0008571346311976026,0.0009707835705716684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008571346311976026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001371633880935161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
побелый,0.0009335036443252323,0.001057278481110388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009335036443252323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
елена,0.0007004426072933,0.0007933154845682083,0.0005827224606170187,0.0,0.0,0.0,0.0,0.0008204500316150064,0.0,0.0,0.0,0.0,0.0,0.0007004426072933,0.0,0.0,0.0,0.0010258815325326052,0.0,0.0,0.0008108688695986049,0.0,0.002375660835840811,0.003233538359894437,0.0,0.0,0.0010867245888277846,0.0,0.0,0.0,0.0,0.0010179657799667672,0.0,0.0,0.0,0.004095034612013234,0.0008392389636367242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003923103464680762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009310399794191464,0.0,0.001053740935173267,0.0,0.0010717170193638751,0.0,0.0,0.0,0.0,0.0,0.0,0.0008255842621007073,0.0005743507404601351,0.0005781260520757802,0.0007547389306847427,0.0,0.0,0.0,0.0,0.0,0.000680744917872513,0.0007193476831171921,0.0,0.0008725420971143719,0.0015138079757165005,0.06852484791115822,0.0,0.0009845400379380077,0.0,0.0,0.0
